unit_serial,measurement_date,cooling_plate_flatness_mm,channel_depth_mm,channel_width_mm,surface_roughness_um,leak_test_pressure_kpa,leak_test_result,weight_g,inspector_id
TM4200-260283,2026-03-12,0.056,1.516,2.993,0.86,149.9,PASS,1197.3,KT-103
TM4200-260284,2026-03-12,0.058,1.433,3.111,0.92,150.3,PASS,1206.3,KT-101
TM4200-260285,2026-03-12,0.067,1.544,3.115,0.81,150.1,PASS,1202.8,KT-102
TM4200-260286,2026-03-12,0.037,1.505,2.9,0.67,150.1,PASS,1203.4,KT-103
TM4200-260287,2026-03-12,0.045,1.53,3.15,0.75,149.7,PASS,1189.4,KT-101
TM4200-260288,2026-03-12,0.057,1.473,2.945,0.8,149.7,PASS,1211.0,KT-102
TM4200-260289,2026-03-12,0.049,1.453,3.059,0.79,150.6,PASS,1192.8,KT-103
TM4200-260290,2026-03-12,0.035,1.508,3.058,0.42,149.9,PASS,1209.2,KT-103
TM4200-260291,2026-03-12,0.053,1.499,2.94,0.72,149.8,PASS,1206.1,KT-105
TM4200-260292,2026-03-12,0.055,1.485,3.03,0.81,150.4,PASS,1203.5,KT-105
TM4200-260293,2026-03-12,0.049,1.503,2.994,0.74,150.1,PASS,1194.9,KT-104
TM4200-260294,2026-03-12,0.051,1.583,3.033,0.75,150.2,PASS,1200.9,KT-101
TM4200-260295,2026-03-12,0.045,1.525,3.014,0.9,150.0,PASS,1197.2,KT-103
TM4200-260296,2026-03-12,0.066,1.531,3.072,0.58,149.9,PASS,1200.2,KT-104
TM4200-260297,2026-03-12,0.037,1.525,3.005,0.47,149.9,PASS,1198.5,KT-103
TM4200-260298,2026-03-12,0.041,1.544,2.99,0.73,149.6,PASS,1187.8,KT-103
TM4200-260299,2026-03-12,0.048,1.494,3.066,0.95,150.0,PASS,1206.7,KT-103
TM4200-260300,2026-03-12,0.059,1.438,3.035,1.14,150.1,PASS,1199.5,KT-103
TM4200-260301,2026-03-13,0.03,1.494,3.044,0.96,150.6,PASS,1197.1,KT-103
TM4200-260302,2026-03-13,0.032,1.524,2.96,0.51,150.0,PASS,1196.6,KT-101
TM4200-260303,2026-03-13,0.024,1.471,2.937,0.75,149.3,PASS,1202.2,KT-103
TM4200-260304,2026-03-13,0.048,1.495,2.966,0.85,150.0,PASS,1194.6,KT-102
TM4200-260305,2026-03-13,0.035,1.479,2.963,0.84,150.8,PASS,1186.5,KT-104
TM4200-260306,2026-03-13,0.043,1.545,3.047,0.91,150.3,PASS,1202.4,KT-105
TM4200-260307,2026-03-13,0.056,1.522,3.059,0.62,149.8,PASS,1203.1,KT-103
TM4200-260308,2026-03-13,0.04,1.52,2.991,0.81,150.2,PASS,1198.8,KT-102
TM4200-260309,2026-03-13,0.051,1.519,3.086,0.88,149.8,PASS,1193.1,KT-105
TM4200-260310,2026-03-13,0.044,1.499,3.082,0.97,149.6,PASS,1200.5,KT-104
TM4200-260311,2026-03-13,0.056,1.506,3.015,0.64,149.9,PASS,1191.2,KT-103
TM4200-260312,2026-03-13,0.054,1.464,2.951,0.73,150.0,PASS,1193.8,KT-101
TM4200-260313,2026-03-13,0.04,1.434,3.095,0.26,149.4,PASS,1195.5,KT-101
TM4200-260314,2026-03-13,0.046,1.505,2.996,0.68,149.7,PASS,1205.1,KT-102
TM4200-260315,2026-03-13,0.061,1.51,3.008,0.7,150.0,PASS,1197.8,KT-102
TM4200-260316,2026-03-13,0.053,1.536,2.98,0.6,149.9,PASS,1197.3,KT-104
TM4200-260317,2026-03-13,0.031,1.547,2.947,0.83,150.1,PASS,1211.7,KT-103
TM4200-260318,2026-03-13,0.056,1.547,2.912,0.79,149.6,PASS,1202.1,KT-105
TM4200-260319,2026-03-13,0.035,1.47,3.038,0.35,150.2,PASS,1202.0,KT-103
TM4200-260320,2026-03-13,0.065,1.489,2.953,0.84,149.6,PASS,1197.8,KT-105
TM4200-260321,2026-03-13,0.06,1.514,3.184,0.61,150.5,PASS,1196.4,KT-103
TM4200-260322,2026-03-13,0.051,1.576,2.935,0.9,149.5,PASS,1186.9,KT-102
TM4200-260323,2026-03-13,0.05,1.544,2.925,0.54,149.7,PASS,1205.8,KT-104
TM4200-260324,2026-03-13,0.045,1.534,3.031,0.81,150.1,PASS,1202.7,KT-103
TM4200-260325,2026-03-13,0.056,1.488,3.092,0.74,150.5,PASS,1198.9,KT-102
TM4200-260326,2026-03-14,0.044,1.474,3.004,0.86,150.1,PASS,1199.2,KT-103
TM4200-260327,2026-03-14,0.051,1.524,3.034,0.82,150.2,PASS,1204.4,KT-104
TM4200-260328,2026-03-14,0.058,1.467,2.889,0.75,150.0,PASS,1190.7,KT-102
TM4200-260329,2026-03-14,0.041,1.493,2.959,0.49,149.7,PASS,1196.5,KT-104
TM4200-260330,2026-03-14,0.041,1.497,2.936,0.5,149.9,PASS,1193.2,KT-105
TM4200-260331,2026-03-14,0.034,1.548,2.886,0.68,149.6,PASS,1210.6,KT-103
TM4200-260332,2026-03-14,0.035,1.489,3.007,0.8,149.6,PASS,1205.3,KT-102
TM4200-260333,2026-03-14,0.026,1.427,2.865,0.68,150.1,PASS,1186.8,KT-103
TM4200-260334,2026-03-14,0.057,1.515,2.921,0.93,149.7,PASS,1190.9,KT-105
TM4200-260335,2026-03-14,0.07,1.479,2.968,0.74,150.1,PASS,1199.2,KT-101
TM4200-260336,2026-03-14,0.065,1.501,2.95,0.61,149.6,PASS,1197.2,KT-105
TM4200-260337,2026-03-14,0.028,1.497,3.024,0.74,150.1,PASS,1192.1,KT-103
TM4200-260338,2026-03-14,0.057,1.492,3.018,0.85,149.9,PASS,1211.7,KT-105
TM4200-260339,2026-03-14,0.065,1.524,3.054,0.86,150.4,PASS,1201.9,KT-104
TM4200-260340,2026-03-14,0.043,1.454,3.045,1.18,150.1,PASS,1202.8,KT-104
TM4200-260341,2026-03-14,0.049,1.484,3.068,0.67,150.4,PASS,1195.8,KT-105
TM4200-260342,2026-03-14,0.024,1.521,3.0,0.79,149.8,PASS,1204.3,KT-101
TM4200-260343,2026-03-14,0.051,1.482,3.018,0.89,150.0,PASS,1197.7,KT-103
TM4200-260344,2026-03-14,0.035,1.452,3.031,0.8,149.7,PASS,1198.3,KT-101
TM4200-260345,2026-03-14,0.05,1.52,3.008,0.7,149.9,PASS,1203.7,KT-102
TM4200-260346,2026-03-14,0.029,1.534,2.976,0.49,149.9,PASS,1190.2,KT-101
TM4200-260347,2026-03-14,0.055,1.499,2.98,0.7,149.8,PASS,1209.6,KT-104
TM4200-260348,2026-03-14,0.06,1.441,2.951,0.59,149.6,PASS,1201.1,KT-104
TM4200-260349,2026-03-14,0.039,1.521,3.025,0.45,149.6,PASS,1207.7,KT-104
TM4200-260350,2026-03-14,0.034,1.45,2.994,0.64,149.3,PASS,1193.5,KT-101
TM4200-260351,2026-03-15,0.022,1.509,2.96,0.59,149.7,PASS,1194.5,KT-102
TM4200-260352,2026-03-15,0.045,1.473,2.96,0.92,150.2,PASS,1193.0,KT-104
TM4200-260353,2026-03-15,0.041,1.465,2.927,0.92,149.5,PASS,1201.5,KT-105
TM4200-260354,2026-03-15,0.029,1.487,3.059,0.62,149.6,PASS,1200.4,KT-105
TM4200-260355,2026-03-15,0.053,1.495,3.005,0.75,150.5,PASS,1197.2,KT-101
TM4200-260356,2026-03-15,0.043,1.481,2.948,0.43,149.8,PASS,1193.9,KT-103
TM4200-260357,2026-03-15,0.035,1.518,3.049,0.7,150.1,PASS,1192.4,KT-101
TM4200-260358,2026-03-15,0.041,1.487,2.966,0.88,150.2,PASS,1199.7,KT-105
TM4200-260359,2026-03-15,0.061,1.529,2.916,0.96,150.2,PASS,1197.2,KT-101
TM4200-260360,2026-03-15,0.055,1.508,3.061,0.66,149.5,PASS,1195.9,KT-105
TM4200-260361,2026-03-15,0.046,1.479,2.968,1.01,149.9,PASS,1209.3,KT-101
TM4200-260362,2026-03-15,0.055,1.474,2.975,0.5,149.5,PASS,1199.5,KT-101
TM4200-260363,2026-03-15,0.034,1.451,3.002,0.55,150.7,PASS,1207.6,KT-105
TM4200-260364,2026-03-15,0.048,1.509,3.069,0.94,149.5,PASS,1196.8,KT-103
TM4200-260365,2026-03-15,0.05,1.489,3.001,1.13,149.7,PASS,1201.5,KT-103
TM4200-260366,2026-03-15,0.042,1.429,2.928,0.9,149.7,PASS,1199.7,KT-104
TM4200-260367,2026-03-15,0.053,1.484,3.033,0.79,149.6,PASS,1189.8,KT-102
TM4200-260368,2026-03-15,0.039,1.473,2.971,0.36,150.4,PASS,1208.6,KT-104
TM4200-260369,2026-03-15,0.054,1.547,3.113,0.4,150.7,PASS,1199.2,KT-103
TM4200-260370,2026-03-15,0.055,1.449,3.0,0.83,149.9,PASS,1204.5,KT-102
TM4200-260371,2026-03-15,0.013,1.457,2.866,0.73,149.6,PASS,1195.5,KT-102
TM4200-260372,2026-03-15,0.062,1.533,3.021,0.58,149.3,PASS,1199.0,KT-101
TM4200-260373,2026-03-15,0.011,1.541,3.117,0.81,149.9,PASS,1194.8,KT-102
TM4200-260374,2026-03-15,0.041,1.478,3.095,0.82,149.9,PASS,1207.4,KT-103
TM4200-260375,2026-03-15,0.06,1.481,3.11,0.99,149.8,PASS,1201.9,KT-101
TM4200-260376,2026-03-16,0.044,1.518,2.939,0.83,150.1,PASS,1202.2,KT-101
TM4200-260377,2026-03-16,0.03,1.43,3.055,1.05,150.1,PASS,1208.1,KT-104
TM4200-260378,2026-03-16,0.035,1.444,2.957,0.8,150.1,PASS,1206.9,KT-103
TM4200-260379,2026-03-16,0.06,1.492,3.013,0.78,149.9,PASS,1204.6,KT-101
TM4200-260380,2026-03-16,0.025,1.546,2.924,1.01,149.7,PASS,1191.5,KT-104
TM4200-260381,2026-03-16,0.062,1.487,2.961,0.6,150.2,PASS,1195.8,KT-104
TM4200-260382,2026-03-16,0.047,1.503,2.959,1.36,150.0,PASS,1194.0,KT-101
TM4200-260383,2026-03-16,0.034,1.534,3.054,0.88,150.3,PASS,1204.4,KT-102
TM4200-260384,2026-03-16,0.041,1.563,3.048,0.88,150.2,PASS,1201.0,KT-102
TM4200-260385,2026-03-16,0.036,1.483,3.017,0.91,149.6,PASS,1191.7,KT-104
TM4200-260386,2026-03-16,0.058,1.499,2.919,1.18,149.6,PASS,1198.9,KT-101
TM4200-260387,2026-03-16,0.057,1.555,2.981,0.96,149.8,PASS,1191.0,KT-105
TM4200-260388,2026-03-16,0.027,1.454,2.955,0.48,149.7,PASS,1199.7,KT-102
TM4200-260389,2026-03-16,0.043,1.531,3.052,1.08,150.2,PASS,1190.1,KT-101
TM4200-260390,2026-03-16,0.038,1.469,3.071,0.73,150.1,PASS,1203.2,KT-105
TM4200-260391,2026-03-16,0.064,1.503,3.063,0.82,150.3,PASS,1202.3,KT-101
TM4200-260392,2026-03-16,0.032,1.493,2.955,0.54,150.1,PASS,1211.4,KT-101
TM4200-260393,2026-03-16,0.067,1.471,2.836,0.91,150.1,PASS,1205.1,KT-105
TM4200-260394,2026-03-16,0.048,1.471,2.894,0.67,150.4,PASS,1197.5,KT-103
TM4200-260395,2026-03-16,0.034,1.508,3.085,0.82,150.1,PASS,1204.9,KT-103
TM4200-260396,2026-03-16,0.04,1.53,2.976,0.74,150.0,PASS,1191.6,KT-104
TM4200-260397,2026-03-16,0.038,1.496,2.955,1.19,150.4,PASS,1194.2,KT-104
TM4200-260398,2026-03-16,0.033,1.502,3.099,1.2,150.0,PASS,1202.0,KT-104
TM4200-260399,2026-03-16,0.049,1.517,3.076,0.81,149.9,PASS,1187.1,KT-101
TM4200-260400,2026-03-16,0.033,1.471,3.001,0.81,149.7,PASS,1199.8,KT-103
TM4200-260401,2026-03-17,0.022,1.522,2.982,0.73,146.2,FAIL,1193.9,KT-102
TM4200-260402,2026-03-17,0.043,1.525,2.992,1.02,150.4,PASS,1200.6,KT-105
TM4200-260403,2026-03-17,0.026,1.578,3.014,0.73,150.0,PASS,1193.5,KT-103
TM4200-260404,2026-03-17,0.039,1.489,3.096,0.72,150.4,PASS,1202.5,KT-101
TM4200-260405,2026-03-17,0.037,1.486,3.025,1.0,149.4,PASS,1200.1,KT-105
TM4200-260406,2026-03-17,0.038,1.523,3.044,0.69,150.0,PASS,1208.4,KT-102
TM4200-260407,2026-03-17,0.072,1.525,3.07,0.79,150.0,PASS,1200.0,KT-102
TM4200-260408,2026-03-17,0.049,1.484,2.93,0.48,149.8,PASS,1195.4,KT-105
TM4200-260409,2026-03-17,0.051,1.488,3.045,0.94,150.7,PASS,1198.5,KT-104
TM4200-260410,2026-03-17,0.027,1.516,2.982,1.19,150.0,PASS,1191.9,KT-105
TM4200-260411,2026-03-17,0.04,1.475,2.849,0.94,149.9,PASS,1202.4,KT-104
TM4200-260412,2026-03-17,0.051,1.488,2.872,1.09,150.0,PASS,1203.5,KT-105
TM4200-260413,2026-03-17,0.036,1.503,2.939,0.63,149.4,PASS,1214.8,KT-101
TM4200-260414,2026-03-17,0.059,1.53,3.032,0.85,149.8,PASS,1196.3,KT-103
TM4200-260415,2026-03-17,0.034,1.482,3.007,0.61,150.3,PASS,1198.4,KT-102
TM4200-260416,2026-03-17,0.045,1.445,3.011,0.75,149.8,PASS,1196.5,KT-102
TM4200-260417,2026-03-17,0.041,1.443,3.117,0.95,149.8,PASS,1201.3,KT-102
TM4200-260418,2026-03-17,0.05,1.462,2.924,0.82,150.4,PASS,1202.3,KT-102
TM4200-260419,2026-03-17,0.04,1.461,2.998,0.52,150.4,PASS,1199.7,KT-103
TM4200-260420,2026-03-17,0.045,1.495,3.018,0.54,146.2,FAIL,1206.5,KT-105
TM4200-260421,2026-03-17,0.045,1.464,2.956,0.52,149.9,PASS,1196.3,KT-104
TM4200-260422,2026-03-17,0.039,1.479,3.002,0.9,149.9,PASS,1205.9,KT-102
TM4200-260423,2026-03-17,0.054,1.477,2.904,1.21,149.8,PASS,1203.2,KT-103
TM4200-260424,2026-03-17,0.051,1.487,3.085,1.07,149.7,PASS,1199.9,KT-103
TM4200-260425,2026-03-17,0.047,1.54,2.959,0.42,149.7,PASS,1198.1,KT-102
TM4200-260426,2026-03-18,0.043,1.52,3.122,1.08,149.8,PASS,1214.6,KT-103
TM4200-260427,2026-03-18,0.058,1.5,2.998,0.99,149.7,PASS,1195.1,KT-104
TM4200-260428,2026-03-18,0.045,1.486,3.062,0.49,149.5,PASS,1201.8,KT-102
TM4200-260429,2026-03-18,0.044,1.487,2.997,0.74,150.1,PASS,1195.5,KT-103
TM4200-260430,2026-03-18,0.049,1.51,2.998,1.02,150.1,PASS,1210.7,KT-104
TM4200-260431,2026-03-18,0.068,1.518,2.965,0.91,150.5,PASS,1205.3,KT-103
TM4200-260432,2026-03-18,0.032,1.473,3.007,0.54,149.8,PASS,1195.9,KT-102
TM4200-260433,2026-03-18,0.057,1.501,3.019,0.92,150.1,PASS,1203.1,KT-103
TM4200-260434,2026-03-18,0.025,1.439,2.953,0.37,150.1,PASS,1201.5,KT-104
TM4200-260435,2026-03-18,0.051,1.506,2.992,0.76,149.9,PASS,1196.9,KT-102
TM4200-260436,2026-03-18,0.067,1.523,2.963,1.03,150.2,PASS,1204.5,KT-103
TM4200-260437,2026-03-18,0.054,1.492,3.138,0.8,150.2,PASS,1202.3,KT-104
TM4200-260438,2026-03-18,0.05,1.554,2.995,0.7,150.1,PASS,1201.3,KT-102
TM4200-260439,2026-03-18,0.041,1.474,3.093,0.98,149.9,PASS,1199.7,KT-102
TM4200-260440,2026-03-18,0.048,1.507,2.988,0.99,149.9,PASS,1202.6,KT-105
TM4200-260441,2026-03-18,0.045,1.499,3.016,1.06,149.6,PASS,1201.4,KT-102
TM4200-260442,2026-03-18,0.039,1.497,2.921,0.97,149.8,PASS,1200.4,KT-103
TM4200-260443,2026-03-18,0.045,1.497,2.973,1.02,149.8,PASS,1196.2,KT-101
TM4200-260444,2026-03-18,0.05,1.503,3.013,0.95,149.7,PASS,1210.2,KT-105
TM4200-260445,2026-03-18,0.039,1.525,3.095,0.85,150.1,PASS,1193.7,KT-103
TM4200-260446,2026-03-18,0.038,1.541,3.013,0.82,150.4,PASS,1202.6,KT-104
TM4200-260447,2026-03-18,0.032,1.5,3.083,0.75,149.7,PASS,1198.1,KT-104
TM4200-260448,2026-03-18,0.053,1.524,3.038,0.56,150.1,PASS,1210.6,KT-102
TM4200-260449,2026-03-18,0.055,1.479,3.098,0.61,149.7,PASS,1194.6,KT-102
TM4200-260450,2026-03-18,0.051,1.523,2.996,0.74,149.9,PASS,1195.6,KT-104
TM4200-260451,2026-03-19,0.06,1.477,3.143,0.85,149.8,PASS,1194.2,KT-105
TM4200-260452,2026-03-19,0.049,1.533,2.971,1.09,150.2,PASS,1201.9,KT-101
TM4200-260453,2026-03-19,0.053,1.566,2.954,0.79,149.8,PASS,1191.8,KT-105
TM4200-260454,2026-03-19,0.052,1.496,2.927,1.0,150.3,PASS,1197.1,KT-105
TM4200-260455,2026-03-19,0.047,1.434,3.14,1.02,149.9,PASS,1187.1,KT-101
TM4200-260456,2026-03-19,0.042,1.484,3.049,0.75,149.8,PASS,1201.4,KT-101
TM4200-260457,2026-03-19,0.075,1.537,2.98,0.92,149.6,PASS,1197.0,KT-104
TM4200-260458,2026-03-19,0.043,1.517,3.075,0.75,150.1,PASS,1191.1,KT-105
TM4200-260459,2026-03-19,0.04,1.507,3.041,1.06,150.3,PASS,1206.5,KT-102
TM4200-260460,2026-03-19,0.053,1.53,3.118,0.93,150.1,PASS,1192.2,KT-104
TM4200-260461,2026-03-19,0.051,1.515,2.907,0.56,150.7,PASS,1204.8,KT-105
TM4200-260462,2026-03-19,0.031,1.537,2.984,0.83,150.4,PASS,1195.8,KT-102
TM4200-260463,2026-03-19,0.061,1.528,2.972,1.13,149.9,PASS,1209.6,KT-102
TM4200-260464,2026-03-19,0.047,1.546,2.882,0.76,149.9,PASS,1204.5,KT-105
TM4200-260465,2026-03-19,0.035,1.511,3.064,0.89,150.1,PASS,1194.0,KT-102
TM4200-260466,2026-03-19,0.062,1.527,2.984,0.91,149.7,PASS,1194.5,KT-103
TM4200-260467,2026-03-19,0.056,1.491,3.044,0.59,150.3,PASS,1203.6,KT-103
TM4200-260468,2026-03-19,0.033,1.482,3.142,0.9,150.1,PASS,1198.4,KT-103
TM4200-260469,2026-03-19,0.069,1.551,2.979,0.52,150.1,PASS,1199.0,KT-102
TM4200-260470,2026-03-19,0.056,1.506,2.975,0.67,150.2,PASS,1207.6,KT-104
TM4200-260471,2026-03-19,0.048,1.524,3.007,1.02,150.5,PASS,1195.5,KT-104
TM4200-260472,2026-03-19,0.067,1.504,3.059,0.87,150.1,PASS,1200.5,KT-102
TM4200-260473,2026-03-19,0.05,1.482,2.966,0.74,150.0,PASS,1205.7,KT-103
TM4200-260474,2026-03-19,0.048,1.5,2.962,0.89,150.5,PASS,1204.9,KT-101
TM4200-260475,2026-03-19,0.04,1.543,3.063,0.79,150.3,PASS,1199.0,KT-102
TM4200-260476,2026-03-20,0.055,1.517,3.023,0.8,149.9,PASS,1198.3,KT-105
TM4200-260477,2026-03-20,0.054,1.449,2.877,0.93,150.0,PASS,1189.6,KT-103
TM4200-260478,2026-03-20,0.048,1.494,2.926,0.65,150.1,PASS,1193.7,KT-104
TM4200-260479,2026-03-20,0.039,1.553,3.09,0.81,150.1,PASS,1201.9,KT-105
TM4200-260480,2026-03-20,0.05,1.494,3.024,0.74,149.6,PASS,1199.2,KT-104
TM4200-260481,2026-03-20,0.047,1.446,2.954,0.48,149.5,PASS,1200.4,KT-104
TM4200-260482,2026-03-20,0.032,1.557,2.99,0.62,149.7,PASS,1206.2,KT-104
TM4200-260483,2026-03-20,0.03,1.52,3.001,1.11,149.7,PASS,1192.9,KT-103
TM4200-260484,2026-03-20,0.055,1.498,3.044,0.88,149.8,PASS,1198.6,KT-104
TM4200-260485,2026-03-20,0.017,1.489,2.919,0.54,150.2,PASS,1201.1,KT-102
TM4200-260486,2026-03-20,0.05,1.532,2.95,0.49,149.9,PASS,1195.8,KT-105
TM4200-260487,2026-03-20,0.042,1.484,3.016,0.78,150.1,PASS,1208.6,KT-101
TM4200-260488,2026-03-20,0.064,1.534,2.994,1.11,149.6,PASS,1205.5,KT-105
TM4200-260489,2026-03-20,0.042,1.516,3.034,0.76,149.9,PASS,1201.7,KT-105
TM4200-260490,2026-03-20,0.056,1.507,2.926,1.06,150.2,PASS,1210.8,KT-101
TM4200-260491,2026-03-20,0.043,1.504,3.021,0.87,150.2,PASS,1191.0,KT-104
TM4200-260492,2026-03-20,0.049,1.495,3.065,0.89,149.8,PASS,1200.0,KT-105
TM4200-260493,2026-03-20,0.057,1.531,3.029,0.53,150.0,PASS,1202.2,KT-103
TM4200-260494,2026-03-20,0.042,1.474,3.008,0.99,150.7,PASS,1194.5,KT-102
TM4200-260495,2026-03-20,0.06,1.451,2.994,0.73,150.0,PASS,1201.8,KT-105
TM4200-260496,2026-03-20,0.036,1.518,2.95,0.97,149.8,PASS,1193.4,KT-103
TM4200-260497,2026-03-20,0.052,1.519,2.996,0.64,149.9,PASS,1204.1,KT-101
TM4200-260498,2026-03-20,0.059,1.514,3.076,0.84,150.0,PASS,1206.3,KT-102
TM4200-260499,2026-03-20,0.056,1.512,2.993,0.87,150.0,PASS,1201.6,KT-104
TM4200-260500,2026-03-20,0.071,1.49,2.947,0.77,150.0,PASS,1188.9,KT-103
