cycle_number,min_temp_c,max_temp_c,delta_t_c,coolant_flow_rate_lpm,pressure_drop_kpa,visual_inspection,notes
496,-40.3,84.8,125.1,5.92,22.75,PASS,
497,-40.2,85.6,125.8,5.9,22.68,PASS,
498,-39.7,84.8,124.5,5.94,22.81,PASS,
499,-39.5,85.4,124.9,5.93,22.35,PASS,
500,-39.9,85.7,125.6,5.91,22.89,PASS,500-cycle inspection: no anomalies
501,-40.3,84.7,124.9,5.93,22.37,PASS,
502,-39.9,84.9,124.8,5.89,22.42,PASS,
503,-39.3,85.2,124.4,5.89,22.51,PASS,
504,-40.0,84.7,124.6,5.9,22.8,PASS,
505,-39.6,85.1,124.7,5.93,22.64,PASS,
506,-40.2,84.9,125.1,5.92,22.57,PASS,
507,-40.0,84.9,124.9,5.94,22.49,PASS,
508,-39.8,85.0,124.8,5.91,22.4,PASS,
509,-39.9,85.0,124.9,5.94,22.78,PASS,
510,-40.2,85.1,125.3,5.92,22.73,PASS,
511,-40.2,84.8,125.0,5.9,22.82,PASS,
512,-39.7,84.8,124.5,5.93,22.67,PASS,
513,-39.6,85.0,124.6,5.92,22.22,PASS,
514,-39.5,85.0,124.5,5.91,22.43,PASS,
515,-39.5,84.8,124.3,5.92,22.69,PASS,
516,-40.0,85.1,125.1,5.92,22.56,PASS,
517,-40.1,84.3,124.4,5.92,22.54,PASS,
518,-39.6,84.7,124.3,5.91,22.46,PASS,
519,-39.8,84.9,124.7,5.9,22.76,PASS,
520,-40.3,84.7,125.0,5.92,22.69,PASS,
521,-40.3,85.7,126.0,5.91,22.7,PASS,
522,-39.9,85.0,124.9,5.9,22.53,PASS,
523,-40.1,85.1,125.1,5.92,22.65,PASS,
524,-40.0,84.8,124.8,5.94,22.43,PASS,
525,-39.7,85.0,124.7,5.92,22.61,PASS,
526,-39.8,84.5,124.3,5.91,22.25,PASS,
527,-39.6,84.9,124.5,5.91,22.4,PASS,
528,-40.6,84.6,125.2,5.93,22.59,PASS,
529,-39.9,84.9,124.8,5.87,22.99,PASS,
530,-39.8,84.0,123.8,5.94,22.37,PASS,
531,-40.5,84.5,125.0,5.88,22.45,PASS,
532,-40.2,85.6,125.8,5.89,22.67,PASS,
533,-40.3,85.3,125.6,5.91,22.91,PASS,
534,-40.0,85.5,125.5,5.96,22.67,PASS,
535,-39.5,85.6,125.1,5.95,22.75,PASS,
536,-39.4,85.3,124.7,5.93,22.59,PASS,
537,-40.2,84.8,125.1,5.93,22.57,PASS,
538,-39.8,84.6,124.4,5.88,22.66,PASS,
539,-39.8,85.5,125.3,5.92,22.55,PASS,
540,-39.9,85.0,124.9,5.91,22.76,PASS,
541,-39.9,86.0,125.9,5.9,22.41,PASS,
542,-39.9,84.9,124.8,5.92,22.78,PASS,
543,-39.5,85.8,125.3,5.91,22.66,PASS,
544,-39.7,84.9,124.6,5.94,22.62,PASS,
545,-40.3,85.5,125.9,5.88,22.41,PASS,
546,-39.8,85.7,125.4,5.92,22.51,PASS,
547,-39.7,84.6,124.3,5.9,22.84,PASS,
548,-39.9,84.8,124.7,5.91,22.63,PASS,
549,-39.7,84.6,124.2,5.92,22.7,PASS,
550,-39.9,84.5,124.5,5.9,22.53,PASS,
551,-39.9,85.3,125.2,5.92,22.66,PASS,
552,-40.0,84.9,124.9,5.91,22.46,PASS,
553,-40.6,85.0,125.6,5.9,22.68,PASS,
554,-40.0,85.2,125.2,5.91,22.72,PASS,
555,-40.2,84.3,124.5,5.91,22.71,PASS,
556,-40.4,85.5,125.9,5.9,22.53,PASS,
557,-39.6,84.9,124.4,5.92,22.62,PASS,
558,-39.8,85.2,125.1,5.91,22.75,PASS,
559,-40.0,85.2,125.3,5.9,22.64,PASS,
560,-40.2,85.5,125.7,5.95,22.63,PASS,
561,-39.9,85.0,124.9,5.92,22.96,PASS,
562,-39.7,84.2,123.9,5.91,22.53,PASS,
563,-40.2,85.0,125.3,5.92,22.84,PASS,
564,-40.0,85.1,125.1,5.89,22.5,PASS,
565,-39.7,84.6,124.3,5.91,22.78,PASS,
566,-40.6,85.1,125.6,5.91,22.79,PASS,
567,-40.0,84.9,124.9,5.89,22.6,PASS,
568,-40.1,84.5,124.6,5.92,22.5,PASS,
569,-40.0,85.3,125.3,5.9,22.39,PASS,
570,-40.2,84.8,124.9,5.91,22.59,PASS,
571,-40.0,84.8,124.8,5.9,22.76,PASS,
572,-39.4,84.8,124.2,5.97,22.52,PASS,
573,-40.1,85.5,125.6,5.9,22.7,PASS,
574,-39.9,85.0,124.9,5.87,22.47,PASS,
575,-39.4,85.0,124.4,5.88,22.65,PASS,
576,-40.2,84.8,125.0,5.93,22.52,PASS,
577,-39.5,85.2,124.6,5.94,22.68,PASS,
578,-40.0,85.5,125.5,5.9,22.62,PASS,
579,-39.5,85.3,124.7,5.94,22.52,PASS,
580,-39.8,85.3,125.0,5.93,22.6,PASS,
581,-39.9,85.2,125.2,5.91,22.56,PASS,
582,-40.0,84.4,124.5,5.91,22.5,PASS,
583,-40.2,84.6,124.8,5.92,22.86,PASS,
584,-40.0,84.9,124.9,5.93,22.65,PASS,
585,-39.7,84.7,124.4,5.92,22.37,PASS,
586,-40.0,84.6,124.6,5.9,22.61,PASS,
587,-40.1,84.3,124.3,5.91,22.84,PASS,
588,-40.1,84.5,124.5,5.95,22.59,PASS,
589,-39.7,84.9,124.6,5.92,22.93,PASS,
590,-39.6,85.0,124.6,5.93,22.58,PASS,
591,-40.2,84.7,124.9,5.92,22.78,PASS,
592,-40.2,85.0,125.2,5.92,22.87,PASS,
593,-39.9,84.8,124.7,5.91,22.78,PASS,
594,-39.5,85.4,125.0,5.93,22.51,PASS,
595,-39.7,84.9,124.6,5.93,22.57,PASS,
596,-40.4,85.3,125.7,5.92,22.89,PASS,
597,-40.1,85.1,125.2,5.9,22.6,PASS,
598,-40.3,84.4,124.7,5.92,22.86,PASS,
599,-40.1,85.0,125.0,5.91,22.65,PASS,
600,-39.5,84.5,124.0,5.9,22.74,PASS,
601,-40.4,85.0,125.4,5.96,22.51,PASS,
602,-40.5,84.7,125.2,5.88,22.63,PASS,
603,-40.2,85.2,125.4,5.93,22.59,PASS,
604,-39.9,84.5,124.4,5.89,22.76,PASS,
605,-39.8,85.0,124.8,5.91,22.74,PASS,
606,-39.9,85.2,125.1,5.96,22.8,PASS,
607,-39.6,85.4,125.0,5.89,22.65,PASS,
608,-40.5,84.7,125.2,5.89,22.59,PASS,
609,-39.6,85.0,124.7,5.91,22.76,PASS,
610,-40.1,85.1,125.2,5.89,22.58,PASS,
611,-39.8,85.6,125.4,5.93,22.89,PASS,
612,-40.4,84.4,124.8,5.9,22.72,PASS,
613,-40.0,84.6,124.6,5.92,22.69,PASS,
614,-39.9,86.1,126.1,5.88,22.81,PASS,
615,-39.7,84.9,124.5,5.87,22.73,PASS,
616,-40.5,84.2,124.7,5.9,22.49,PASS,
617,-40.0,84.8,124.8,5.88,22.58,PASS,
618,-40.3,83.9,124.2,5.94,22.9,PASS,
619,-39.8,85.1,124.9,5.88,22.76,PASS,
620,-39.8,85.3,125.1,5.89,22.49,PASS,
621,-39.6,84.6,124.2,5.92,22.8,PASS,
622,-40.2,84.8,125.0,5.89,22.66,PASS,
623,-39.7,85.4,125.1,5.88,22.62,PASS,
624,-39.6,84.3,123.9,5.95,22.58,PASS,
625,-40.5,84.5,125.0,5.89,22.9,PASS,
626,-39.8,84.9,124.7,5.9,22.46,PASS,
627,-39.7,84.7,124.4,5.9,22.63,PASS,
628,-40.1,84.9,125.0,5.92,22.77,PASS,
629,-40.4,84.5,124.9,5.91,22.99,PASS,
630,-39.7,85.1,124.8,5.89,22.84,PASS,
631,-40.4,84.9,125.3,5.9,22.63,PASS,
632,-40.1,85.2,125.3,5.9,22.99,PASS,
633,-40.0,85.1,125.1,5.92,22.56,PASS,
634,-39.8,85.1,124.9,5.88,22.8,PASS,
635,-40.2,84.4,124.6,5.95,22.84,PASS,
636,-40.2,85.2,125.4,5.89,22.63,PASS,
637,-40.0,84.9,124.8,5.9,22.87,PASS,
638,-39.7,84.9,124.6,5.88,22.69,PASS,
639,-39.3,85.4,124.7,5.88,22.87,PASS,
640,-40.5,84.7,125.2,5.89,22.49,PASS,
641,-39.9,85.5,125.4,5.88,22.82,PASS,
642,-40.3,85.6,125.9,5.9,22.71,PASS,
643,-39.7,85.3,125.0,5.88,22.94,PASS,
644,-40.3,84.6,124.9,5.92,22.77,PASS,
645,-40.2,84.1,124.3,5.89,22.96,PASS,
646,-40.2,85.4,125.6,5.89,22.85,PASS,
647,-40.0,85.0,125.1,5.9,22.76,PASS,
648,-39.9,84.7,124.6,5.92,22.9,PASS,
649,-39.9,85.5,125.3,5.91,22.9,PASS,
650,-40.0,84.7,124.7,5.9,22.85,PASS,
651,-40.4,84.8,125.2,5.87,22.44,PASS,
652,-39.8,85.2,125.0,5.88,22.64,PASS,
653,-40.0,84.6,124.6,5.88,22.99,PASS,
654,-39.7,85.0,124.6,5.93,22.6,PASS,
655,-40.2,85.4,125.6,5.91,22.92,PASS,
656,-40.5,85.1,125.6,5.88,22.89,PASS,
657,-40.0,85.5,125.5,5.89,22.68,PASS,
658,-39.6,85.5,125.1,5.88,22.49,PASS,
659,-40.0,85.0,125.0,5.88,22.71,PASS,
660,-40.1,84.1,124.1,5.91,23.1,PASS,
661,-40.3,84.6,124.8,5.9,22.66,PASS,
662,-39.5,85.3,124.8,5.94,22.68,PASS,
663,-40.3,84.4,124.7,5.93,22.65,PASS,
664,-40.2,84.9,125.1,5.93,22.98,PASS,
665,-39.8,85.1,125.0,5.91,22.76,PASS,
666,-40.6,85.6,126.1,5.89,22.71,PASS,
667,-39.6,84.8,124.4,5.91,23.01,PASS,
668,-39.8,84.7,124.6,5.89,22.89,PASS,
669,-39.7,85.0,124.7,5.93,22.66,PASS,
670,-39.8,85.1,125.0,5.91,22.62,PASS,
671,-40.0,84.9,125.0,5.9,22.98,PASS,
672,-40.3,85.4,125.7,5.9,22.81,PASS,
673,-40.0,84.7,124.7,5.93,22.58,PASS,
674,-40.3,85.0,125.3,5.87,22.54,PASS,
675,-39.9,85.2,125.0,5.94,22.64,PASS,
676,-39.8,84.8,124.6,5.89,22.63,PASS,
677,-39.6,85.3,124.9,5.87,22.51,PASS,
678,-39.9,85.1,124.9,5.88,22.65,PASS,
679,-39.7,85.3,125.0,5.87,22.68,PASS,
680,-40.1,85.1,125.2,5.91,22.75,PASS,
681,-40.1,85.2,125.3,5.88,23.07,PASS,
682,-39.9,84.7,124.6,5.9,22.78,PASS,
683,-40.1,84.7,124.9,5.92,22.79,PASS,
684,-39.9,85.5,125.4,5.88,22.9,PASS,
685,-40.3,85.3,125.6,5.89,22.79,PASS,
686,-40.3,84.6,124.9,5.87,22.88,PASS,
687,-39.8,85.1,124.9,5.89,22.87,PASS,
688,-39.7,84.1,123.8,5.95,22.84,PASS,
689,-40.3,84.8,125.1,5.91,23.24,PASS,
690,-39.8,85.4,125.2,5.89,22.96,PASS,
691,-40.2,84.9,125.1,5.88,22.67,PASS,
692,-40.0,85.0,125.0,5.9,22.89,PASS,
693,-39.6,83.8,123.4,5.9,22.71,PASS,
694,-39.8,84.8,124.6,5.89,22.9,PASS,
695,-39.8,85.1,124.9,5.91,22.63,PASS,
696,-39.4,85.2,124.6,5.88,22.67,PASS,
697,-40.2,85.4,125.6,5.88,22.89,PASS,
698,-40.3,84.9,125.2,5.9,22.99,PASS,
699,-40.2,84.9,125.2,5.87,22.91,PASS,
700,-40.1,84.5,124.5,5.91,22.97,PASS,
701,-40.7,84.9,125.6,5.89,22.9,PASS,
702,-40.1,84.5,124.6,5.86,22.87,PASS,
703,-40.2,84.3,124.4,5.9,22.77,PASS,
704,-39.8,84.6,124.3,5.86,22.97,PASS,
705,-39.9,85.6,125.5,5.91,23.0,PASS,
706,-40.2,84.9,125.1,5.89,22.84,PASS,
707,-39.8,85.1,124.9,5.93,22.83,PASS,
708,-39.8,84.8,124.6,5.92,23.09,PASS,
709,-40.2,84.3,124.5,5.87,22.85,PASS,
710,-40.1,85.4,125.5,5.85,22.86,PASS,
711,-40.7,84.1,124.8,5.88,22.93,PASS,
712,-40.3,84.8,125.1,5.87,22.84,PASS,
713,-40.2,85.0,125.2,5.93,22.73,PASS,
714,-40.0,85.1,125.1,5.89,22.91,PASS,
715,-40.3,84.7,125.0,5.91,22.85,PASS,
716,-40.2,84.3,124.4,5.89,23.14,PASS,
717,-40.4,84.7,125.0,5.89,22.98,PASS,
718,-39.9,84.7,124.6,5.89,22.77,PASS,
719,-39.9,84.7,124.6,5.91,22.97,PASS,
720,-39.9,85.4,125.3,5.9,22.91,PASS,
721,-40.0,84.5,124.5,5.87,23.06,PASS,
722,-40.5,85.1,125.6,5.92,22.79,PASS,
723,-40.2,85.1,125.2,5.89,22.9,PASS,
724,-40.1,85.4,125.5,5.88,22.85,PASS,
725,-40.1,84.9,125.1,5.83,22.88,PASS,
726,-40.0,85.3,125.3,5.9,22.74,PASS,
727,-39.6,84.9,124.5,5.89,22.96,PASS,
728,-39.8,85.2,124.9,5.89,22.94,PASS,
729,-40.3,84.4,124.7,5.88,23.07,PASS,
730,-39.8,83.9,123.7,5.88,22.87,PASS,
731,-39.8,85.2,125.0,5.88,22.82,PASS,
732,-40.2,85.2,125.4,5.9,23.0,PASS,
733,-39.7,85.2,124.9,5.9,22.76,PASS,
734,-40.0,84.8,124.8,5.89,23.04,PASS,
735,-40.4,85.6,126.0,5.91,23.04,PASS,
736,-39.9,84.8,124.7,5.89,23.07,PASS,
737,-39.9,85.2,125.1,5.88,22.94,PASS,
738,-40.1,85.2,125.3,5.89,22.81,PASS,
739,-40.0,85.7,125.7,5.86,22.9,PASS,
740,-40.2,84.9,125.1,5.89,22.95,PASS,
741,-39.8,84.7,124.6,5.86,22.81,PASS,
742,-40.0,84.4,124.4,5.87,23.09,PASS,
743,-40.0,85.6,125.6,5.85,22.98,PASS,
744,-39.9,85.2,125.1,5.88,22.76,PASS,
745,-40.3,85.2,125.5,5.92,23.18,PASS,
746,-40.3,86.2,126.5,5.89,22.91,PASS,
747,-40.7,85.1,125.8,5.9,22.73,PASS,
748,-39.8,84.5,124.3,5.93,22.77,PASS,
749,-40.4,84.9,125.3,5.9,23.12,PASS,
750,-40.0,84.6,124.6,5.87,23.17,PASS,750-cycle periodic check: nominal
751,-39.9,84.8,124.7,5.87,23.05,PASS,
752,-39.8,84.8,124.7,5.89,23.1,PASS,
753,-40.4,84.8,125.1,5.87,23.09,PASS,
754,-40.0,84.4,124.5,5.88,22.99,PASS,
755,-39.5,85.6,125.1,5.91,22.96,PASS,
756,-39.5,85.1,124.6,5.91,22.99,PASS,
757,-39.7,84.9,124.6,5.85,23.02,PASS,
758,-39.9,85.3,125.2,5.87,22.8,PASS,
759,-40.3,85.2,125.5,5.88,23.02,PASS,
760,-39.8,85.1,124.9,5.9,23.13,PASS,
761,-40.0,85.3,125.3,5.91,22.88,PASS,
762,-39.8,85.1,124.9,5.94,22.87,PASS,
763,-40.2,85.3,125.5,5.88,22.99,PASS,
764,-40.1,85.3,125.4,5.88,22.82,PASS,
765,-40.0,85.1,125.0,5.9,22.72,PASS,
766,-39.9,84.9,124.8,5.87,23.09,PASS,
767,-39.9,85.6,125.5,5.88,22.85,PASS,
768,-40.2,84.8,125.0,5.88,22.92,PASS,
769,-40.4,85.2,125.6,5.83,22.83,PASS,
770,-39.5,85.2,124.7,5.89,23.12,PASS,
771,-39.3,84.8,124.0,5.88,23.05,PASS,
772,-39.9,84.7,124.5,5.91,22.89,PASS,
773,-40.4,84.9,125.3,5.88,22.75,PASS,
774,-40.2,84.8,125.0,5.86,22.88,PASS,
775,-39.8,84.4,124.3,5.88,23.02,PASS,
776,-39.6,84.7,124.3,5.84,22.96,PASS,
777,-40.4,85.1,125.5,5.86,22.95,PASS,
778,-40.0,85.5,125.5,5.9,22.97,PASS,
779,-39.9,85.2,125.2,5.88,23.05,PASS,
780,-39.7,84.0,123.7,5.9,22.93,PASS,
781,-40.1,85.3,125.4,5.84,23.0,PASS,
782,-40.5,84.8,125.2,5.88,22.79,PASS,
783,-39.8,85.2,125.0,5.87,23.32,PASS,
784,-39.7,85.0,124.7,5.9,22.9,PASS,
785,-40.0,84.9,124.9,5.9,22.97,PASS,
786,-39.9,85.0,124.8,5.89,23.03,PASS,
787,-40.1,85.0,125.1,5.91,22.88,PASS,
788,-40.3,85.5,125.8,5.87,22.95,PASS,
789,-39.7,85.0,124.7,5.91,22.95,PASS,
790,-39.9,85.4,125.3,5.86,22.81,PASS,
791,-39.9,85.4,125.2,5.86,23.01,PASS,
792,-39.5,85.3,124.8,5.9,22.7,PASS,
793,-40.3,84.3,124.6,5.85,23.21,PASS,
794,-40.2,85.4,125.6,5.89,23.07,PASS,
795,-40.0,84.8,124.8,5.88,23.05,PASS,
796,-40.2,85.3,125.5,5.9,22.69,PASS,
797,-39.8,84.6,124.4,5.88,22.84,PASS,
798,-40.1,84.5,124.6,5.88,23.17,PASS,
799,-40.3,85.8,126.1,5.89,23.58,PASS,
800,-40.0,84.6,124.6,5.87,23.14,PASS,
801,-39.9,85.5,125.4,5.87,23.12,PASS,
802,-39.7,85.0,124.8,5.89,23.04,PASS,
803,-39.9,84.8,124.7,5.88,22.84,PASS,
804,-39.9,85.0,124.8,5.87,23.11,PASS,
805,-39.9,84.5,124.4,5.88,22.8,PASS,
806,-40.1,85.0,125.1,5.91,22.79,PASS,
807,-40.2,84.6,124.8,5.87,22.78,PASS,
808,-39.9,84.8,124.8,5.87,23.12,PASS,
809,-40.1,85.4,125.5,5.84,22.96,PASS,
810,-39.5,85.1,124.6,5.88,22.99,PASS,
811,-39.6,84.4,124.0,5.89,22.97,PASS,
812,-39.8,85.3,125.2,5.89,22.81,PASS,
813,-39.9,85.0,124.9,5.88,22.87,PASS,
814,-40.0,84.8,124.8,5.9,22.88,PASS,
815,-40.4,85.3,125.7,5.89,22.77,PASS,
816,-40.1,84.9,125.0,5.9,22.9,PASS,
817,-40.0,84.5,124.5,5.9,22.82,PASS,
818,-39.9,85.7,125.7,5.91,23.07,PASS,
819,-39.9,85.0,124.9,5.87,23.08,PASS,
820,-39.7,85.0,124.7,5.85,22.79,PASS,
821,-40.2,84.8,125.0,5.89,22.94,PASS,
822,-40.2,85.5,125.7,5.89,23.26,PASS,
823,-39.6,84.8,124.4,5.91,22.84,PASS,
824,-39.8,84.4,124.2,5.9,23.05,PASS,
825,-40.1,84.7,124.8,5.92,23.01,PASS,
826,-40.0,85.5,125.6,5.89,23.16,PASS,
827,-40.0,85.3,125.4,5.88,23.04,PASS,
828,-40.0,84.9,124.9,5.85,22.93,PASS,
829,-39.9,85.5,125.4,5.88,23.0,PASS,
830,-39.2,85.3,124.5,5.86,23.01,PASS,
831,-39.9,84.9,124.8,5.88,22.98,PASS,
832,-39.8,84.9,124.7,5.88,22.8,PASS,
833,-40.5,85.1,125.6,5.88,23.19,PASS,
834,-40.1,84.7,124.8,5.87,23.16,PASS,
835,-39.6,85.0,124.6,5.89,22.85,PASS,
836,-39.9,85.1,125.0,5.82,22.96,PASS,
837,-41.3,84.3,125.6,5.88,22.97,PASS,
838,-39.8,84.9,124.7,5.9,22.83,PASS,
839,-39.4,84.9,124.3,5.91,22.73,PASS,
840,-40.6,85.4,126.0,5.89,22.91,PASS,
841,-39.5,84.3,123.8,5.91,22.96,PASS,
842,-40.8,84.8,125.7,5.88,22.79,PASS,
843,-39.7,84.8,124.5,5.87,23.04,PASS,
844,-40.0,85.4,125.4,5.88,23.19,PASS,
845,-40.7,85.0,125.7,5.87,23.14,PASS,
846,-39.9,85.7,125.6,5.86,23.0,PASS,
847,-39.7,85.3,124.9,5.86,22.74,PASS,
848,-39.9,84.8,124.7,5.85,23.12,PASS,
849,-39.8,85.1,124.9,5.88,23.04,PASS,
850,-40.1,84.9,125.0,5.87,23.08,PASS,
851,-40.6,85.3,125.9,5.87,23.31,PASS,
852,-39.8,84.5,124.3,5.86,22.9,PASS,
853,-39.5,84.7,124.1,5.88,22.59,PASS,
854,-39.7,85.2,124.8,5.89,22.87,PASS,
855,-40.6,85.5,126.1,5.85,23.1,PASS,
856,-40.5,84.1,124.6,5.85,23.03,PASS,
857,-40.3,85.5,125.8,5.89,22.85,PASS,
858,-40.5,84.9,125.4,5.84,22.82,PASS,
859,-40.0,84.2,124.2,5.88,22.98,PASS,
860,-39.9,83.8,123.7,5.9,22.85,PASS,
861,-40.4,84.4,124.8,5.9,23.11,PASS,
862,-39.8,85.0,124.8,5.89,22.97,PASS,
863,-39.8,85.0,124.8,5.88,22.94,PASS,
864,-40.2,85.3,125.4,5.92,22.92,PASS,
865,-40.1,84.8,124.8,5.82,23.08,PASS,
866,-40.6,84.6,125.1,5.86,23.05,PASS,
867,-40.1,84.8,124.9,5.89,23.07,PASS,
868,-40.0,85.0,125.0,5.86,23.07,PASS,
869,-39.9,85.1,125.0,5.89,23.03,PASS,
870,-39.9,84.7,124.6,5.87,22.89,PASS,
871,-39.9,85.4,125.3,5.87,22.94,PASS,
872,-40.1,84.8,124.8,5.86,22.99,PASS,
873,-39.9,84.7,124.6,5.86,23.36,PASS,
874,-39.7,84.8,124.5,5.86,22.85,PASS,
875,-40.0,85.4,125.5,5.87,22.99,PASS,
876,-39.9,84.9,124.9,5.85,23.07,PASS,
877,-40.1,84.7,124.8,5.89,23.01,PASS,
878,-40.2,85.4,125.6,5.88,23.21,PASS,
879,-39.8,85.9,125.7,5.89,23.01,PASS,
880,-40.2,85.1,125.3,5.85,23.02,PASS,
881,-39.9,85.5,125.4,5.83,23.18,PASS,
882,-40.0,85.4,125.4,5.87,23.33,PASS,
883,-40.1,84.8,124.8,5.93,23.27,PASS,
884,-40.1,85.0,125.1,5.89,23.04,PASS,
885,-40.2,84.5,124.6,5.86,23.05,PASS,
886,-40.5,84.9,125.4,5.88,23.07,PASS,
887,-39.9,84.7,124.6,5.88,23.09,PASS,
888,-39.9,84.8,124.8,5.84,22.94,PASS,
889,-39.7,84.7,124.4,5.89,23.21,PASS,
890,-40.2,84.9,125.0,5.86,23.1,PASS,
891,-39.4,85.2,124.6,5.86,23.06,PASS,
892,-40.1,85.0,125.1,5.87,22.88,PASS,
893,-40.3,84.3,124.5,5.89,23.08,PASS,
894,-40.3,84.7,125.0,5.85,22.79,PASS,
895,-40.5,84.4,124.9,5.83,22.99,PASS,
896,-39.5,85.1,124.6,5.87,22.99,PASS,
897,-39.6,85.2,124.8,5.82,23.12,PASS,
898,-39.8,85.1,124.9,5.86,23.36,PASS,
899,-40.3,84.7,125.0,5.89,23.16,PASS,
900,-39.5,85.1,124.6,5.88,23.3,PASS,
901,-40.1,84.8,124.9,5.89,23.18,PASS,
902,-40.1,84.5,124.6,5.88,23.25,PASS,
903,-39.6,85.3,124.9,5.91,23.36,PASS,
904,-39.8,85.3,125.1,5.85,22.98,PASS,
905,-39.3,85.4,124.7,5.87,22.97,PASS,
906,-39.9,84.8,124.7,5.86,23.19,PASS,
907,-40.1,85.5,125.6,5.88,23.09,PASS,
908,-40.2,84.8,125.0,5.86,23.12,PASS,
909,-40.6,85.3,125.8,5.9,23.05,PASS,
910,-40.1,84.8,124.9,5.85,23.0,PASS,
911,-39.7,84.9,124.6,5.89,23.34,PASS,
912,-39.8,84.0,123.9,5.88,22.93,PASS,
913,-40.0,84.9,124.9,5.86,23.2,PASS,
914,-40.3,85.0,125.3,5.87,23.18,PASS,
915,-39.9,84.8,124.8,5.87,22.86,PASS,
916,-39.7,85.7,125.4,5.87,22.97,PASS,
917,-39.9,84.5,124.4,5.86,23.0,PASS,
918,-39.9,84.8,124.7,5.85,23.19,PASS,
919,-40.2,84.6,124.9,5.86,23.05,PASS,
920,-39.7,84.8,124.5,5.83,23.09,PASS,
921,-40.9,85.4,126.4,5.88,22.89,PASS,
922,-39.9,85.6,125.5,5.84,23.46,PASS,
923,-39.2,84.7,123.9,5.86,23.12,PASS,
924,-40.5,84.7,125.2,5.87,23.18,PASS,
925,-40.1,84.5,124.6,5.88,23.03,PASS,
926,-40.0,85.5,125.5,5.83,23.01,PASS,
927,-40.1,85.4,125.6,5.86,23.4,PASS,
928,-39.7,85.0,124.6,5.87,22.83,PASS,
929,-39.9,84.4,124.3,5.86,23.16,PASS,
930,-40.0,84.5,124.4,5.89,22.93,PASS,
931,-39.8,85.1,124.8,5.84,23.06,PASS,
932,-40.0,85.2,125.2,5.82,23.02,PASS,
933,-39.0,84.2,123.2,5.88,22.97,PASS,
934,-40.0,84.9,124.8,5.85,23.13,PASS,
935,-39.9,85.6,125.6,5.82,22.74,PASS,
936,-40.5,84.9,125.4,5.86,23.08,PASS,
937,-40.2,85.6,125.8,5.88,23.11,PASS,
938,-39.7,85.3,124.9,5.83,22.92,PASS,
939,-40.4,84.6,125.0,5.91,23.35,PASS,
940,-40.6,84.9,125.5,5.84,23.04,PASS,
941,-40.0,84.9,124.9,5.86,23.09,PASS,
942,-39.6,84.6,124.2,5.83,23.04,PASS,
943,-40.0,84.6,124.6,5.86,23.12,PASS,
944,-40.1,85.6,125.7,5.86,23.33,PASS,
945,-40.6,84.6,125.2,5.83,23.5,PASS,
946,-39.9,85.4,125.3,5.91,23.25,PASS,
947,-39.8,84.8,124.6,5.85,23.3,PASS,
948,-40.5,85.0,125.5,5.85,23.4,PASS,
949,-39.7,85.2,124.9,5.88,23.18,PASS,
950,-39.8,84.8,124.5,5.89,23.38,PASS,
951,-39.7,85.2,124.9,5.88,23.26,PASS,
952,-39.8,84.2,124.0,5.83,23.16,PASS,
953,-39.8,85.2,125.0,5.86,23.2,PASS,
954,-39.8,84.0,123.9,5.82,22.87,PASS,
955,-39.7,84.9,124.6,5.87,23.19,PASS,
956,-40.5,85.3,125.9,5.82,22.92,PASS,
957,-40.5,85.2,125.7,5.84,22.9,PASS,
958,-40.2,84.5,124.7,5.86,23.18,PASS,
959,-40.0,84.5,124.6,5.87,22.98,PASS,
960,-39.9,84.7,124.6,5.85,23.15,PASS,
961,-39.9,85.1,125.0,5.89,23.17,PASS,
962,-39.7,84.2,123.9,5.87,23.18,PASS,
963,-39.7,85.0,124.7,5.87,23.02,PASS,
964,-40.3,85.1,125.4,5.83,23.29,PASS,
965,-39.9,84.9,124.8,5.89,23.14,PASS,
966,-40.3,85.2,125.5,5.84,23.23,PASS,
967,-40.1,85.1,125.1,5.89,22.98,PASS,
968,-39.9,84.8,124.7,5.9,23.13,PASS,
969,-41.0,84.2,125.2,5.86,23.33,PASS,
970,-39.3,85.1,124.3,5.88,23.31,PASS,
971,-39.8,84.6,124.4,5.79,23.05,PASS,
972,-40.2,84.8,124.9,5.85,23.08,PASS,
973,-39.4,85.2,124.6,5.88,23.02,PASS,
974,-40.1,85.6,125.7,5.87,23.07,PASS,
975,-40.0,85.0,124.9,5.83,22.96,PASS,
976,-40.1,85.2,125.4,5.85,23.15,PASS,
977,-39.5,84.4,123.9,5.8,23.27,PASS,
978,-40.0,85.1,125.1,5.86,23.06,PASS,
979,-40.0,85.0,124.9,5.82,23.16,PASS,
980,-39.6,85.5,125.1,5.88,23.14,PASS,
981,-39.8,84.8,124.6,5.88,23.34,PASS,
982,-40.0,84.9,124.9,5.84,23.09,PASS,
983,-39.7,85.4,125.1,5.86,23.09,PASS,
984,-39.2,85.0,124.2,5.85,23.05,PASS,
985,-39.9,84.6,124.5,5.86,23.01,PASS,
986,-40.0,86.0,126.0,5.83,23.26,PASS,
987,-39.9,84.6,124.5,5.86,23.16,PASS,
988,-39.6,85.0,124.6,5.82,23.19,PASS,
989,-40.2,85.1,125.3,5.82,23.38,PASS,
990,-40.1,85.1,125.2,5.85,23.39,PASS,
991,-40.5,84.9,125.4,5.85,22.94,PASS,
